,Month,Day,Time,Wind (mph),Visibility (miles),Weather,Sky Condition,Air Temperature,Dew Point,Relative Humidity,Wind Chill,Heat Index,Altimeter (inHg)
227,10,15,8:47,x 10,10,,,63,,73%,,,29.91
226,10,15,7:47,x 9,10,,,63,,73%,,,29.91
225,10,15,6:47,x 7,10,,,63,,73%,,,29.90
224,10,15,3:47,x 10,10,,,66,,68%,,,29.88
223,10,15,2:47,x 8,10,,,66,,68%,,,29.89
222,10,15,1:47,x 7,10,,,64,,68%,,,29.90
221,10,15,12:47,x 7,10,,,63,,73%,,,29.91
220,10,15,11:47,x 5,10,,,61,,77%,,,29.92
219,10,15,11:00,,10,,,59,,82%,,,29.93
218,10,15,8:47,x 8,10,,,57,,82%,,,29.91
217,10,15,6:47,x 8,10,,,57,,88%,,,29.89
216,10,14,1:47,x 10,10,,,63,,77%,,,30.02
215,10,14,12:47,x 8,10,,,61,,77%,,,30.05
214,10,14,11:47,x 8,10,,,61,,77%,,,30.07
213,10,14,10:47,x 3,10,,,59,,82%,,,30.09
212,10,14,9:47,,10,,,57,,82%,,,30.10
211,10,14,8:47,x 6,10,,,57,,82%,,,30.10
210,10,14,6:47,x 8,10,,,57,,82%,,,30.09
209,10,13,1:47,x 10,10,,,63,,77%,,,30.02
208,10,13,12:47,x 8,10,,,61,,77%,,,30.05
207,10,13,11:47,x 8,10,,,61,,77%,,,30.07
206,10,13,10:47,x 3,10,,,59,,82%,,,30.09
205,10,13,9:47,,10,,,57,,82%,,,30.10
204,10,13,8:47,x 6,10,,,57,,82%,,,30.10
203,10,13,6:47,x 8,10,,,57,,82%,,,30.09
202,10,12,9:00,x 5,10,,,63,,77%,,,30.09
201,10,12,5:47,x 13,10,,,63,,77%,,,30.07
200,10,12,2:47,x 5,8,,,66,,73%,,,30.07
199,10,12,1:47,x 7,8,,,64,,73%,,,30.09
198,10,12,12:47,x 5,4,,,63,,77%,,,30.11
197,10,12,11:47,x 5,4,,,61,,83%,,,30.13
196,10,12,10:47,x 5,4,,,59,,88%,,,30.14
195,10,12,8:47,x 6,5,,,59,,82%,,,30.12
194,10,12,7:47,x 5,5,,,59,,82%,,,30.10
193,10,12,6:47,,10,,,59,,88%,,,30.10
192,10,11,8:47,x 3,10,,,57,,94%,,,30.01
191,10,11,2:47,x 9,10,,,68,,64%,,,29.96
190,10,11,1:47,x 9,10,,,66,,68%,,,29.97
189,10,11,12:47,x 8,10,,,63,,77%,,,29.99
188,10,11,9:47,x 3,5,,,57,,88%,,,30.01
187,10,11,7:47,,7,,,57,,88%,,,29.99
186,10,11,6:47,,7,,,57,,88%,,,29.97
185,10,10,8:47,x 6,10,,,59,,94%,,,29.96
184,10,10,7:47,x 8,10,,,61,,88%,,,29.94
183,10,10,6:47,x 7,10,,,61,,83%,,,29.93
182,10,10,5:47,x 10,10,,,64,,78%,,,29.92
181,10,10,2:47,x 9,10,,,64,,78%,,,29.94
180,10,10,1:47,x 7,10,,,64,,78%,,,29.97
179,10,10,12:47,x 7,10,,,64,,78%,,,30.00
178,10,10,11:47,x 7,8,,,63,,77%,,,30.03
177,10,10,11:23,x 5,8,,,63,,77%,,,30.04
176,10,10,10:47,,8,,,61,,83%,,,30.04
175,10,10,9:47,x 3,8,,,59,,88%,,,30.04
174,10,10,8:47,,8,,,57,,94%,,,30.04
173,10,10,7:47,,8,,,57,,94%,,,30.03
172,10,10,6:47,x 3,8,,,57,,94%,,,30.02
171,10,9,8:47,x 5,10,,,57,,88%,,,30.03
170,10,9,7:47,x 9,10,,,61,,83%,,,30.02
169,10,9,6:47,x 8,10,,,61,,83%,,,30.01
168,10,9,5:47,x 9,10,,,63,,77%,,,30.00
167,10,9,3:47,x 13,10,,,64,,73%,,,30.02
166,10,9,2:47,x 12,10,,,64,,73%,,,30.03
165,10,9,1:47,x 10,10,,,64,,78%,,,30.05
164,10,9,12:47,x 7,10,,,64,,73%,,,30.07
163,10,9,11:47,x 6,10,,,61,,83%,,,30.09
162,10,9,10:47,x 5,10,,,61,,83%,,,30.09
161,10,9,9:47,,10,,,57,,88%,,,30.09
160,10,9,8:47,,10,,,57,,88%,,,30.09
159,10,9,7:47,,10,,,57,,88%,,,30.08
158,10,9,6:47,,7,,,57,,88%,,,30.07
157,10,8,8:47,x 3,10,,,61,,88%,,,30.05
156,10,8,7:47,x 5,10,,,63,,83%,,,30.03
155,10,8,6:47,x 8,10,,,64,,78%,,,30.01
154,10,8,3:47,x 12,10,,,72,,61%,,,30.01
153,10,8,2:47,x 10,10,,,72,,65%,,,30.02
152,10,8,1:47,x 8,10,,,70,,73%,,,30.04
151,10,8,12:47,x 7,9,,,66,,83%,,,30.07
150,10,8,11:47,x 6,9,,,64,,78%,,,30.09
149,10,8,10:47,,6,,,63,,83%,,,30.11
148,10,7,8:47,x 3,10,,,61,,88%,,,30.05
147,10,7,7:47,x 5,10,,,63,,83%,,,30.03
146,10,7,6:47,x 8,10,,,64,,78%,,,30.01
145,10,7,3:47,x 12,10,,,72,,61%,,,30.01
144,10,7,2:47,x 10,10,,,72,,65%,,,30.02
143,10,7,1:47,x 8,10,,,70,,73%,,,30.04
142,10,7,12:47,x 7,9,,,66,,83%,,,30.07
141,10,7,11:47,x 6,9,,,64,,78%,,,30.09
140,10,7,10:47,,6,,,63,,83%,,,30.11
139,10,6,9:00,x 6,10,,,61,,83%,,,29.99
138,10,6,6:47,x 7,10,,,64,,78%,,,29.96
137,10,6,5:47,x 9,10,,,70,,69%,,,29.96
136,10,6,2:47,x 8,10,,,70,,73%,,,29.97
135,10,6,1:47,x 6,10,,,68,,69%,,,30.00
134,10,6,12:47,,10,,,64,,78%,,,30.02
133,10,6,9:47,,4,,,57,,94%,,,30.06
132,10,5,9:00,x 6,10,,,61,,83%,,,29.99
131,10,5,6:47,x 7,10,,,64,,78%,,,29.96
130,10,5,5:47,x 9,10,,,70,,69%,,,29.96
129,10,5,2:47,x 8,10,,,70,,73%,,,29.97
128,10,5,1:47,x 6,10,,,68,,69%,,,30.00
127,10,5,12:47,,10,,,64,,78%,,,30.02
126,10,5,9:47,,4,,,57,,94%,,,30.06
125,10,4,8:47,x 6,10,,,59,,88%,,,29.99
124,10,4,6:47,x 12,10,,,61,,83%,,,29.98
123,10,4,5:47,x 12,10,,,64,,78%,,,29.97
122,10,4,3:47,x 12,10,,,68,,69%,,,29.99
121,10,4,2:47,x 9,10,,,68,,69%,,,30.00
120,10,4,1:47,x 7,10,,,64,,73%,,,30.02
119,10,4,12:47,x 6,10,,,63,,77%,,,30.04
118,10,4,12:20,x 6,10,,,64,,73%,,,30.05
117,10,4,10:47,,10,,,61,,77%,,,30.07
116,10,4,10:20,,10,,,59,,82%,,,30.07
115,10,4,8:47,x 3,10,,,57,,88%,,,30.07
114,10,4,7:47,x 3,10,,,57,,88%,,,30.06
113,10,3,8:47,x 6,10,,,59,,88%,,,30.03
112,10,3,7:47,x 10,10,,,63,,73%,,,30.02
111,10,3,5:47,x 16,10,,,68,,64%,,,30.00
110,10,3,2:47,x 16,10,,,73,,53%,,,30.03
109,10,3,1:47,x 8,10,,,70,,64%,,,30.04
108,10,3,11:47,x 8,10,,,68,,64%,,,30.07
107,10,3,10:47,x 8,10,,,64,,68%,,,30.08
106,10,3,9:47,x 5,10,,,64,,68%,,,30.08
105,10,3,8:47,,10,,,61,,77%,,,30.07
104,10,3,7:47,x 3,10,,,55,,88%,,,30.07
103,10,3,6:47,,10,,,52,,88%,,,30.06
102,10,2,8:47,x 8,10,,,63,,73%,,,30.00
101,10,2,7:47,x 12,10,,,63,,73%,,,29.99
100,10,2,6:47,x 12,10,,,64,,68%,,,29.98
99,10,2,5:47,x 12,10,,,70,,57%,,,29.97
98,10,2,3:47,x 17,10,,,72,,57%,,,29.97
97,10,2,2:47,x 12,10,,,72,,57%,,,29.98
96,10,2,12:47,x 8,10,,,70,,60%,,,30.00
95,10,2,10:47,x 7,10,,,66,,64%,,,30.01
94,10,2,9:47,,10,,,64,,68%,,,30.00
93,10,2,8:47,x 5,10,,,63,,73%,,,29.99
92,10,2,7:47,x 5,10,,,63,,73%,,,29.97
91,10,1,8:47,x 7,10,,,61,,83%,,,29.88
90,10,1,7:47,x 8,10,,,63,,77%,,,29.87
89,10,1,7:33,x 8,10,,,63,,77%,,,29.86
88,10,1,6:47,x 12,10,,,64,,73%,,,29.86
87,10,1,5:47,x 9,10,,,66,,73%,,,29.85
86,10,1,3:47,x 10,10,,,70,,69%,,,29.84
85,10,1,2:47,x 9,10,,,68,,69%,,,29.85
84,10,1,1:47,x 9,10,,,66,,73%,,,29.86
83,10,1,12:47,x 8,10,,,64,,73%,,,29.87
82,10,1,11:47,x 6,10,,,64,,78%,,,29.87
81,10,1,10:47,x 5,10,,,63,,77%,,,29.88
80,10,1,6:47,x 5,10,,,61,,83%,,,29.84
79,9,30,8:47,x 7,10,,,63,,83%,,,29.80
78,9,30,7:47,x 7,10,,,64,,78%,,,29.78
77,9,30,3:47,x 13,10,,,79,,54%,,,29.78
76,9,30,2:47,x 12,10,,,81,,42%,,,29.79
75,9,30,1:47,x 10,10,,,75,,65%,,,29.82
74,9,30,12:47,x 9,10,,,75,,69%,,,29.84
73,9,30,11:47,x 8,10,,,73,,69%,,,29.87
72,9,30,10:47,x 7,10,,,70,,78%,,,29.98
71,9,30,6:47,x 5,10,,,55,,88%,,,29.89
70,9,29,8:47,x 7,10,,,64,,78%,,,29.93
69,9,29,6:47,x 13,10,,,70,,64%,,,29.93
68,9,29,3:47,x 10,10,,,77,,57%,,,29.96
67,9,29,1:47,x 13,10,,,73,,65%,,,30.00
66,9,29,12:47,x 8,10,,,72,,69%,,,30.03
65,9,29,11:47,x 6,10,,,70,,69%,,,30.05
64,9,29,10:47,x 6,10,,,66,,73%,,,30.07
63,9,29,9:47,x 5,10,,,64,,78%,,,30.08
62,9,29,8:47,,10,,,63,,83%,,,30.08
61,9,29,7:47,,10,,,57,,94%,,,30.07
60,9,28,9:00,x 8,10,,,64,,78%,,,30.05
59,9,28,7:47,x 6,10,,,64,,78%,,,30.05
58,9,28,6:47,x 12,10,,,86,,38%,,,30.04
57,9,28,5:47,x 15,10,,,70,,73%,,,30.03
56,9,28,3:47,x 18,10,,,70,,69%,,,30.02
55,9,28,2:47,x 16,10,,,72,,65%,,,30.03
54,9,28,1:47,x 13,10,,,72,,61%,,,30.06
53,9,28,12:47,x 10,10,,,70,,64%,,,30.06
52,9,28,11:47,x 6,10,,,66,,73%,,,30.07
51,9,27,3:47,x 13,10,,,68,,64%,,,29.97
50,9,27,2:47,x 14,10,,,66,,68%,,,29.98
49,9,27,1:47,x 12,10,,,66,,68%,,,30.00
48,9,27,12:47,x 9,10,,,64,,73%,,,30.01
47,9,27,11:47,x 8,10,,,63,,73%,,,30.03
46,9,27,10:47,x 6,10,,,61,,72%,,,30.04
45,9,27,9:47,,10,,,59,,77%,,,30.04
44,9,27,8:47,x 7,10,,,57,,82%,,,30.03
43,9,27,7:47,x 5,10,,,57,,82%,,,30.02
42,9,27,6:47,,10,,,57,,82%,,,30.00
41,9,26,8:47,x 6,10,,,57,,88%,,,29.97
40,9,26,7:47,x 12,10,,,61,,83%,,,29.95
39,9,26,6:47,x 12,10,,,63,,77%,,,29.94
38,9,26,5:47,x 14,10,,,64,,78%,,,29.93
37,9,26,3:47,x 14,10,,,70,,64%,,,29.94
36,9,26,2:47,x 10,10,,,68,,69%,,,29.95
35,9,26,1:47,x 10,10,,,66,,73%,,,29.97
34,9,26,12:47,x 10,10,,,66,,73%,,,29.99
33,9,26,11:47,x 7,10,,,64,,78%,,,30.01
32,9,26,10:47,x 6,10,,,64,,73%,,,30.01
31,9,26,10:30,,10,,,64,,73%,,,30.01
30,9,26,9:47,,8,,,61,,83%,,,30.02
29,9,26,9:20,x 3,8,,,61,,83%,,,30.01
28,9,26,8:47,,8,,,61,,83%,,,30.01
27,9,26,8:18,,8,,,59,,88%,,,30.01
26,9,26,6:47,,8,,,59,,88%,,,29.99
25,9,25,8:47,x 9,10,,,63,,83%,,,30.00
24,9,25,7:47,x 10,10,,,63,,83%,,,29.99
23,9,25,6:47,x 12,10,,,64,,78%,,,29.98
22,9,25,5:47,x 12,10,,,68,,73%,,,29.98
21,9,25,3:47,x 12,10,,,72,,65%,,,29.99
20,9,25,2:47,x 10,10,,,70,,69%,,,30.00
19,9,25,1:47,x 9,10,,,68,,78%,,,30.02
18,9,25,12:47,x 7,10,,,66,,78%,,,30.04
17,9,25,11:47,x 6,10,,,66,,73%,,,30.06
16,9,25,11:31,x 6,10,,,66,,73%,,,30.07
15,9,25,10:47,x 6,10,,,64,,78%,,,30.07
14,9,25,9:47,,10,,,63,,83%,,,30.07
13,9,25,7:47,,10,,,63,,83%,,,30.06
12,9,25,7:33,,10,,,61,,88%,,,30.05
11,9,24,8:47,x 6,10,,,64,,83%,,,30.01
10,9,24,7:47,x 9,10,,,66,,78%,,,29.99
9,9,24,6:47,x 13,10,,,70,,73%,,,29.97
8,9,24,5:47,x 14,10,,,75,,65%,,,29.97
7,9,24,3:47,x 13,10,,,81,,51%,,,29.98
6,9,24,2:47,x 12,10,,,82,,48%,,,29.99
5,9,24,1:47,x 9,10,,,77,,61%,,,30.01
4,9,24,12:47,x 8,10,,,75,,69%,,,30.02
3,9,24,11:47,x 6,10,,,75,,54%,,,30.04
2,9,24,10:47,x 5,10,,,72,,61%,,,30.05
1,9,24,9:47,,10,,,70,,69%,,,30.04
0,9,24,6:47,,10,,,55,,88%,,,29.99
